LGT_COND,WEATHER,VSURCOND,MAN_COLL,VSPD_LIM,rate
1,1,1,1,65,low
3,10,1,6,40,low
3,1,1,2,50,low
1,10,1,8,60,low
1,1,2,0,45,high
1,1,1,0,55,high
1,1,1,0,45,low
5,1,1,0,55,high
1,1,1,6,45,low
6,10,1,0,70,low
1,2,2,1,70,low
2,1,1,1,70,low
1,1,1,0,70,low
2,10,1,0,35,high
2,1,1,0,45,high
1,1,1,6,55,low
1,10,1,1,55,low
1,1,1,6,50,low
1,5,1,2,35,low
3,1,1,0,65,low
3,1,1,0,25,high
1,1,1,2,55,high
2,1,1,0,55,high
2,1,1,0,55,high
1,1,1,0,55,low
2,1,1,0,35,high
4,99,1,0,45,high
1,10,1,0,35,high
1,2,2,2,45,high
1,10,1,0,50,high
1,2,2,2,55,low
3,1,1,0,50,low
2,10,1,0,45,low
2,1,1,0,45,high
3,1,0,6,0,low
2,10,1,1,65,low
1,1,1,0,70,low
1,1,1,1,70,low
1,1,1,0,55,high
2,1,1,0,60,low
4,1,1,2,55,low
1,10,1,0,25,high
2,10,1,0,35,high
3,1,1,0,45,high
1,1,1,0,35,high
1,1,1,1,50,low
2,1,1,0,55,high
1,2,2,0,45,high
1,2,2,0,70,low
2,10,1,0,70,high
2,1,1,2,35,low
1,1,1,6,45,low
1,1,1,6,45,low
1,1,1,6,70,low
2,1,1,0,55,low
1,1,1,0,55,low
1,1,1,0,45,low
2,1,1,0,35,low
2,1,1,0,45,high
1,1,1,6,55,low
1,1,1,0,55,low
2,10,1,0,45,high
1,5,1,6,65,low
1,2,2,6,55,low
1,10,2,0,35,high
1,1,2,0,25,high
1,1,1,0,35,low
1,10,2,6,30,low
1,1,1,0,55,high
1,10,1,2,35,low
1,10,1,0,45,high
2,10,2,0,55,high
1,10,1,8,45,low
1,1,1,1,65,low
1,1,1,0,60,low
4,1,1,0,70,high
3,1,1,0,25,high
1,1,1,2,55,low
1,1,1,2,55,high
1,1,1,6,45,low
3,1,1,6,40,low
1,1,1,0,40,low
1,1,1,2,50,low
1,1,1,1,55,low
1,2,2,0,55,low
1,10,2,0,45,high
2,10,2,2,45,low
3,1,1,0,55,high
3,1,1,0,55,high
1,1,0,6,0,low
1,1,1,2,50,low
2,1,1,0,45,high
3,1,1,0,65,low
2,1,1,0,50,low
4,1,1,1,60,low
2,1,1,0,50,low
1,1,1,0,55,low
1,1,1,0,45,high
3,1,1,6,45,low
2,1,1,0,55,high
1,10,1,6,40,low
1,1,1,2,55,low
2,1,1,1,45,low
1,10,1,2,45,low
1,1,1,6,45,low
1,1,1,0,70,low
1,5,1,0,70,high
1,1,1,2,45,low
2,2,2,0,35,high
1,10,1,0,45,high
3,1,1,0,35,low
2,10,1,0,55,high
1,10,1,0,55,high
1,1,1,0,55,high
1,1,1,2,55,low
1,1,1,6,55,low
1,2,2,6,45,low
5,1,1,6,40,low
1,2,2,0,35,low
2,1,1,6,40,low
2,10,1,0,45,high
1,10,1,0,25,high
1,1,1,2,45,low
2,10,1,0,45,high
1,1,1,2,55,low
1,1,1,0,55,low
4,1,1,2,65,low
1,2,2,0,45,low
1,1,0,0,0,high
1,1,1,6,55,low
2,1,1,6,55,low
1,1,1,0,35,low
1,1,1,1,70,low
2,1,1,0,45,high
5,1,1,6,50,low
1,1,1,0,25,low
2,1,1,0,55,low
2,1,1,0,55,high
2,2,2,1,40,low
1,1,1,6,65,low
1,1,1,2,55,low
2,1,1,0,45,high
2,1,1,0,35,high
2,1,1,0,45,high
1,1,1,0,55,high
1,1,1,6,65,low
1,10,2,0,35,high
2,10,1,2,55,low
1,1,1,6,55,high
2,1,1,6,70,low
2,1,1,1,55,low
2,1,1,0,45,low
2,1,1,2,50,low
1,1,1,0,45,low
1,1,1,2,55,low
1,1,1,0,50,high
1,2,2,0,40,high
2,2,2,0,45,low
1,1,1,0,55,high
1,2,2,0,45,low
2,1,1,0,65,low
1,1,1,0,25,high
3,1,1,0,30,high
1,1,1,0,35,low
1,1,1,0,55,low
1,1,1,0,70,high
1,10,1,0,70,high
1,10,2,1,70,low
2,10,1,0,50,low
1,1,1,2,55,low
1,10,1,2,45,low
1,1,1,0,45,high
1,1,1,0,40,high
2,1,1,0,55,high
2,10,1,0,55,high
1,1,1,0,55,high
2,1,1,0,45,high
1,1,1,0,65,high
3,1,1,0,55,high
1,1,1,8,55,low
2,1,1,2,55,low
3,1,1,0,30,high
1,1,1,0,65,high
1,10,2,6,55,low
2,1,1,0,35,high
1,1,1,0,55,high
1,10,1,0,70,high
1,1,1,0,35,low
2,10,1,0,45,low
1,2,2,6,65,low
1,1,1,0,35,high
1,1,0,6,0,low
1,1,1,2,30,low
3,1,1,0,30,high
1,10,1,1,55,low
1,10,1,2,55,low
1,1,1,0,70,low
1,1,1,6,25,low
1,10,1,0,45,high
2,1,1,0,55,low
1,1,1,6,45,low
1,1,1,6,45,high
1,10,1,1,40,low
3,1,1,0,45,high
1,1,1,0,65,high
1,10,1,0,55,high
1,1,1,6,50,low
2,1,1,0,55,low
1,1,1,0,60,high
1,1,1,0,70,high
1,1,1,0,50,high
1,1,1,6,45,low
1,10,1,9,65,low
2,10,1,0,55,high
5,1,1,6,50,low
2,1,1,0,40,high
2,1,1,0,45,high
3,1,1,0,40,low
2,1,1,2,45,high
2,1,1,2,55,low
1,1,1,0,45,high
2,1,1,0,65,high
1,1,1,6,50,low
2,10,2,0,65,low
3,1,2,0,65,high
2,1,1,7,70,low
2,1,1,0,45,high
1,2,2,6,15,low
3,1,1,0,40,high
3,10,1,6,35,low
3,1,1,6,45,low
2,10,2,0,55,low
2,1,1,0,65,high
1,1,1,2,45,low
1,1,1,0,55,high
3,1,1,7,55,low
2,1,1,0,45,high
2,1,1,9,65,low
1,1,1,0,60,high
2,1,1,0,45,high
1,1,1,0,70,high
1,1,1,1,55,low
2,1,1,0,55,high
3,10,1,0,70,high
1,1,1,0,70,low
3,1,1,0,65,low
2,1,1,0,35,low
2,1,1,0,45,high
2,1,1,0,55,low
1,1,1,1,45,low
1,1,1,6,50,low
2,1,1,0,55,high
1,10,1,0,45,high
1,10,1,2,55,low
2,1,1,0,30,high
2,1,1,0,45,high
2,1,1,0,65,high
2,1,1,0,55,high
3,1,1,1,50,low
2,1,1,0,45,high
2,10,1,6,45,low
2,1,1,0,55,high
2,10,2,2,55,low
1,1,1,2,55,low
2,1,1,0,55,low
1,1,1,6,60,low
2,10,1,0,70,low
2,1,1,6,55,low
2,1,1,0,50,high
4,1,1,0,55,high
1,10,2,0,45,high
1,1,1,0,45,high
1,1,1,6,35,low
1,1,1,2,55,low
1,1,1,1,65,low
3,1,1,0,40,high
1,1,1,2,40,low
1,1,1,1,40,low
2,5,1,0,55,high
2,1,1,0,55,high
3,1,1,0,45,low
2,10,1,2,45,low
1,1,1,2,45,low
3,1,1,0,45,low
1,1,1,0,45,high
2,1,1,0,45,high
1,2,2,0,35,low
3,10,1,0,25,high
1,2,2,2,55,low
1,10,1,0,45,high
1,1,1,7,40,low
1,1,1,0,25,high
2,10,1,0,45,high
3,2,2,0,50,high
1,1,1,0,45,high
1,1,1,6,45,low
2,2,2,0,40,high
2,10,1,0,40,high
2,1,1,6,25,low
1,1,1,1,50,low
2,1,1,0,70,low
6,1,1,0,45,high
5,1,1,0,55,high
2,1,1,0,45,high
3,1,1,0,50,low
1,1,1,2,40,low
2,1,1,6,35,low
1,1,1,0,40,high
1,1,1,6,55,low
1,1,1,0,65,high
2,1,1,0,55,high
1,1,1,1,65,low
5,1,2,6,35,low
3,2,2,0,40,high
1,1,1,0,30,high
2,2,2,0,55,high
2,2,2,2,65,low
1,10,2,0,55,low
3,10,1,0,65,high
2,2,2,0,70,high
2,1,1,6,45,low
1,1,1,6,45,low
1,10,1,1,50,low
1,1,1,0,70,low
2,2,2,0,40,high
1,10,2,0,35,high
2,2,2,0,45,high
1,1,1,0,55,low
1,2,2,2,55,low
1,2,2,2,55,low
2,1,1,0,45,low
2,1,1,0,55,high
2,10,1,0,30,high
3,1,1,0,40,high
2,1,1,2,45,low
1,1,1,0,70,low
3,1,1,0,35,high
1,1,1,2,55,low
1,1,1,0,45,high
1,1,1,0,45,high
2,1,1,0,65,high
2,1,1,6,50,low
3,1,1,6,45,low
2,1,1,0,55,high
2,1,1,0,55,high
1,1,1,0,55,high
1,10,1,0,40,high
2,1,1,0,25,high
2,10,1,0,45,high
2,10,2,0,45,high
1,1,1,6,55,low
2,5,2,0,45,high
2,2,2,0,35,low
3,1,1,6,45,low
1,1,1,0,35,high
1,10,2,0,55,low
2,2,2,0,35,low
3,2,2,0,40,high
5,10,1,0,65,low
2,1,1,0,45,high
2,10,1,0,55,high
2,1,1,6,55,low
1,1,1,2,40,low
2,1,1,0,45,high
2,1,1,0,50,high
2,10,1,0,35,low
1,1,0,6,0,low
2,1,1,0,55,low
2,1,1,0,45,high
3,1,1,0,25,high
3,1,1,0,55,high
